repeat,item_id,split,label,arm,decision,correct,error,knowledge_hash
0,m1_73c4e289b8a4c69b,dev,short_bias,A,maintain_long,0,a_arm_must_have_empty_refs,
0,m1_73c4e289b8a4c69b,dev,short_bias,B,avoid_trade,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_dc5a165500205c0d,dev,avoid_trade,A,avoid_trade,1,null,
0,m1_dc5a165500205c0d,dev,avoid_trade,B,reduce_exposure,0,wrong_action,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_573a144a44d7c569,dev,avoid_trade,A,maintain_long,0,a_arm_must_have_empty_refs,
0,m1_573a144a44d7c569,dev,avoid_trade,B,maintain_long,0,wrong_action,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_dab85658814a50cb,dev,avoid_trade,A,reduce_exposure,0,a_arm_must_have_empty_refs,
0,m1_dab85658814a50cb,dev,avoid_trade,B,reduce_exposure,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_1e42a35d6c5a92d7,dev,avoid_trade,A,maintain_long,0,wrong_action,
0,m1_1e42a35d6c5a92d7,dev,avoid_trade,B,maintain_long,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_c0782c9540b16e75,dev,short_bias,A,avoid_trade,0,a_arm_must_have_empty_refs,
0,m1_c0782c9540b16e75,dev,short_bias,B,avoid_trade,0,wrong_action,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_a2378cca9846e2a1,dev,maintain_long,A,reduce_exposure,0,wrong_action,
0,m1_a2378cca9846e2a1,dev,maintain_long,B,avoid_trade,0,wrong_action,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_bfb17c68b3c7507c,dev,avoid_trade,A,avoid_trade,0,a_arm_must_have_empty_refs,
0,m1_bfb17c68b3c7507c,dev,avoid_trade,B,reduce_exposure,0,wrong_action,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_59742ffb02ccb055,dev,reduce_exposure,A,maintain_long,0,wrong_action,
0,m1_59742ffb02ccb055,dev,reduce_exposure,B,reduce_exposure,0,unknown_knowledge_ref,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
0,m1_a87242a122766499,dev,avoid_trade,A,increase_long,0,a_arm_must_have_empty_refs,
0,m1_a87242a122766499,dev,avoid_trade,B,maintain_long,0,wrong_action,8e80132bf4fc5d86dd3a04095da2abcb813de8d9c9fe572f6a73dcb92bd44076
